cod;rubro;eq1;eq2;marca;modelo;detalle;descripcion;venta;costo;fecha
1;ACOPLE;99;7537;CHEVROLET;400;Año 66/82;Acople extremo c/ abrazadera 5/8 x 18;$ 3.145,00;$ 2.330,00;3/5/2023
2;ACOPLE;765;7678;CHEVROLET;400;Año 66/78;Acople extremo c/ abrazaderas 11/16 x 18;$ 2.905,00;$ 2.150,00;3/5/2023
3;ACOPLE;761;7621;CHEVROLET;Apache;Año 57/62;Acople extremo;$ 3.645,00;$ 2.700,00;3/5/2023
4;ACOPLE;762;7624;CHEVROLET;Brava;Año 63/72;Acople extremo;$ 2.725,00;$ 2.020,00;3/5/2023
5;ACOPLE;765;7678;CHEVROLET;C10;Año 73/78;Acople extremo;$ 2.905,00;$ 2.150,00;3/5/2023
6;ACOPLE;762;7624;CHEVROLET;Chevy;Año 69/78;Acople con abrazaderas l=160mm 5/8 x 18;$ 2.725,00;$ 2.020,00;3/5/2023
7;ACOPLE;765;7678;CHEVROLET;Silverado;Año 85/91;Acople extremo;$ 2.905,00;$ 2.150,00;3/5/2023
8;ACOPLE;763;7747;DODGE;Polara;Año 68/80;Acople con abrazaderas (210mm) R.H 9/16 x 18;$ 3.580,00;$ 2.650,00;3/5/2023
9;ACOPLE;763;7747;DODGE;Valiant;Año 68/80;Acople con abrazaderas (210mm) R.H 9/16 x 18;$ 3.580,00;$ 2.650,00;3/5/2023
10;ACOPLE;766;7597;FIAT;125;Año 64/71;Acople con abrazaderas l=290mm R.H 16 x 1.0;$ 4.210,00;$ 3.120,00;3/5/2023
11;ACOPLE;764;7598;FIAT;125;Año 64/71;Acople con abrazaderas l=75mm R.H 16 x 1.0;$ 2.455,00;$ 1.820,00;3/5/2023
12;ACOPLE;770;7584;FIAT;600;Año 64/82;Acople con abrazaderas l=245mm R.H 14 x 1.0;$ 3.850,00;$ 2.850,00;3/5/2023
13;ACOPLE;766;7597;FIAT;1500;Año 64/71;Acople con abrazaderas l=290mm R.H 16 x 1.0;$ 4.210,00;$ 3.120,00;3/5/2023
14;ACOPLE;764;7598;FIAT;1500;Año 64/71;Acople con abrazaderas l=75mm R.H 16 x 1.0;$ 2.455,00;$ 1.820,00;3/5/2023
15;ACOPLE;766;7597;FIAT;1600;Año 64/71;Acople con abrazaderas l=290mm R.H 16 x 1.0;$ 4.210,00;$ 3.120,00;3/5/2023
16;ACOPLE;764;7598;FIAT;1600;Año 64/71;Acople con abrazaderas l=75mm R.H 16 x 1.0;$ 2.455,00;$ 1.820,00;3/5/2023
17;ACOPLE;759;9407;FORD;F100;Twin i beam / Duty - Año 99/…;Acople barra central con abrazaderas;$ 4.900,00;$ 3.630,00;3/5/2023
18;ACOPLE;758;9406;FORD;F100;Twin i beam / Duty - Año 99/…;Acople barra lateral con abrazaderas;$ 3.320,00;$ 2.460,00;3/5/2023
19;ACOPLE;757;7549;FORD;F100;Twin i beam - Año 77/84;Acople con abrazaderas l=115mm r.h 7/8 x 18;$ 3.175,00;$ 2.350,00;3/5/2023
20;ACOPLE;9683;9683;FORD;F100;Twin 1000 Kg;"Acople de barra central 1""x16 Hilos 200mm";$ 6.590,00;$ 4.880,00;3/5/2023
21;ACOPLE;9686;9686;FORD;F100;Twin 1000 Kg;Acople de barra lateral 7/8x16 Hilos 145 mm;$ 3.565,00;$ 2.640,00;3/5/2023
22;ACOPLE;9683;9683;FORD;F150;Twin 1000 Kg;"Acople de barra central 1""x16 Hilos 200mm";$ 6.590,00;$ 4.880,00;3/5/2023
23;ACOPLE;9686;9686;FORD;F150;Twin 1000 Kg;"Acople de barra central 1""x16 Hilos 200mm";$ 3.565,00;$ 2.640,00;3/5/2023
24;ACOPLE;757;7549;FORD;F250;Twin i beam - Año 77/84;Acople con abrazaderas l=115mm r. hembra 7/8 x 18;$ 3.175,00;$ 2.350,00;3/5/2023
